Publishers,Game,Metascore
ZA/UM,F1 2018,97.0
Valve,New World,96.0
Amazon Games,PUBG: BATTLEGROUNDS,96.0
Rockstar Games,MEDICALHOLODECK PRO FREE TRIAL | FULL FEATURES FOR 30 DAYS | Medical Virtual Reality | Medical VR | DICOM Viewer,96.0
Valve,Counter-Strike,96.0
2K,Planet Zoo,96.0
Valve,Dota 2,96.0
Valve,Age of Empires II (2013),95.0
"FromSoftware Inc., BANDAI NAMCO Entertainment",Mechstermination Force,95.0
Rockstar Games,Medical verdict,95.0
"KRAFTON, Inc.",Black Squad,95.0
Larian Studios,F1 2019,94.0
Valve,Medieval - Embers of War,94.0
Bethesda Softworks,while True: learn(),94.0
Larian Studios,Fable Anniversary,94.0
Larian Studios,Fable - The Lost Chapters,94.0
Larian Studios,Faeria,94.0
Electronic Arts,MechCube: Escape,94.0
"FromSoftware Inc., BANDAI NAMCO Entertainment",MedaAbi,94.0
2K,The Surge 2,94.0
Electronic Arts,OMSI 2: Steam Edition,94.0
Electronic Arts,One Finger Death Punch,94.0
Bethesda Softworks,Frostpunk,94.0
Larian Studios,Assassin's Creed Odyssey,93.0
Rockstar Games,Dungeon Defenders II,93.0
Starbreeze Publishing AB,Medieval Mayhem,93.0
Facepunch Studios,Medieval Mystery Match,93.0
Ubisoft,MechoEcho,93.0
Gaijin Distribution KFT,Medusa Frontier,93.0
Bungie,MechRunner,93.0
Larian Studios,Assassin's Creed 2,93.0
Supergiant Games,BLOCKADE 3D,93.0
Supergiant Games,Block N Load,93.0
Beat Games,Phantasy Star Online 2,93.0
CD PROJEKT RED,Deceit,93.0
Xbox Game Studios,Medicinal Herbs - Cannabis Grow Simulator,93.0
Grinding Gear Games,Medieval Hero,93.0
Re-Logic,Medieval Steve,93.0
Larian Studios,Arma 2: Operation Arrowhead,93.0
SEGA,Danganronpa 2: Goodbye Despair,93.0
PlayStation PC LLC,Call to Arms,93.0
PlayStation PC LLC,Call of Duty: Ghosts,93.0
SEGA,Spiral Knights,93.0
Valve,Crucible Beta,93.0
"CAPCOM Co., Ltd.",PAC-MAN Championship Edition DX+,92.0
Valve,Robocraft,92.0
Out of the Park Developments,Goosebumps Dead of Night,92.0
Ubisoft,Medieval Wars,92.0
Smartly Dressed Games,Meditation 2 ~ Wisdom and Christian Art,92.0
Stardock Entertainment,Quintet,92.0
tobyfox,Thief Simulator,92.0
Out of the Park Developments,Gopnik Simulator,92.0
Square Enix,The Spirit Underneath,92.0
Stardock Entertainment,Racing Classics: Drag Race Simulator,92.0
Nightdive Studios,Tales of Escape,92.0
Out of the Park Developments,GORB,92.0
Out of the Park Developments,GOOSE.IO,92.0
Amazon Games,Medieval Battle: Europe,92.0
Coffee Stain Publishing,Meditation VR,92.0
Valve,AdVenture Capitalist,92.0
tobyfox,Thief,92.0
Warner Bros. Interactive Entertainment,NBA 2K21,91.0
Xbox Game Studios,Might & Magic Heroes VII,91.0
Endnight Games Ltd,Day of Defeat,91.0
Bethesda Softworks,Baldur's Gate II: Enhanced Edition,91.0
Warner Bros. Interactive Entertainment,Mortal Kombat X,91.0
Electronic Arts,Farm Together,91.0
Digital Extremes,FINAL FANTASY XIV Online,91.0
Funcom,MetaMorph: Dungeon Creatures,91.0
Electronic Arts,Eco,91.0
Konami Digital Entertainment,FEZ,91.0
Wargaming Group Limited,Geometry Dash,91.0
Funcom,Metrocide,91.0
Bethesda Softworks,"Warhammer 40,000: Space Marine - Anniversary Edition",91.0
Valve,Half-Life 2: Deathmatch,91.0
"2K, Aspyr (Mac), Aspyr (Linux)",Fall Guys: Ultimate Knockout,91.0
MY.GAMES,Dying Light,91.0
Valve,A Story About My Uncle,91.0
The Quantum Astrophysicists Guild,Not It: Spookiest Edition,91.0
"CAPCOM Co., Ltd.",Wallpaper Engine,91.0
Square Enix,ENDER LILIES: Quietus of the Knights,91.0
The Quantum Astrophysicists Guild,Not Dying Today,91.0
Daybreak Game Company,GRID 2,91.0
Paradox Interactive,The Binding of Isaac,91.0
Valve,Half-Life: Blue Shift,91.0
NetEase Games Montréal,Warface,91.0
Paradox Interactive,The Crew 2,91.0
Hi-Rez Studios,Chivalry: Medieval Warfare,91.0
CorvusCorax_studio,Portal 2,91.0
Trapdoor,Hazard Ops,91.0
Studio Wildcard,Counter-Strike: Source,91.0
Warner Bros. Interactive Entertainment,Color by Number - Medieval Portrait,91.0
Mossmouth,Spectraball,91.0
Valve,Serena,91.0
Bethesda Softworks,Folk Tale,91.0
Microsoft Studios,Octodad: Dadliest Catch,91.0
"BANDAI NAMCO Entertainment, FromSoftware, Inc",DiRT 4,91.0
Hi-Rez Studios,World of Tanks Blitz,91.0
Paradox Interactive,The Bureau: XCOM Declassified,91.0
Finji,Cubixx HD,90.0
SIGONO INC.,Foxfall,90.0
SIGONO INC.,FOX n FORESTS,90.0
Valve,Counter-Strike: Global Offensive,90.0
2K,The SKIES - BETA,90.0
2K,Press Any Button,90.0
"鬼谷工作室, Lightning Games",Guacamelee! Super Turbo Championship Edition,90.0
Mossmouth,Tower Unite,90.0
Behaviour Interactive Inc.,Human: Fall Flat,90.0
Number None,Bright Memory: Infinite,90.0
Finji,Cubiya,90.0
Finji,Cublast HD,90.0
Number None,Breath of Death VII,90.0
2K,Predynastic Egypt,90.0
Freejam,Arma 3,90.0
2D BOY,Anatomy of Fear,90.0
TCH Scarlet Limited,ARK: Survival Of The Fittest,90.0
Crazy Rocks Studios,Counter-Strike Nexon: Studio,90.0
Subset Games,Jurassic World Evolution 2,90.0
My Dog Zorro,Fist of Physics,90.0
increpare games,Before Akhira,90.0
Kinetic Games,鬼谷八荒 Tale of Immortal,90.0
Zachtronics,Blueprint Tycoon,90.0
VALOFE,Euro Truck Simulator 2,90.0
Zachtronics,Blue Fire,90.0
505 Games,Civilization IV: Beyond the Sword,90.0
505 Games,Clone Drone in the Danger Zone,90.0
Valve,Rocket League,90.0
Wube Software LTD.,Batman: Arkham Asylum Game of the Year Edition,90.0
Wube Software LTD.,Batman: Arkham City - Game of the Year Edition,90.0
Wube Software LTD.,Batman: Arkham Knight,90.0
"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",Surgeon Simulator,90.0
TLM Partners,SMITE,90.0
My Dog Zorro,Fist's Elimination Tower,90.0
"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",Swords of Legends Online,90.0
Rockstar Games,Champions Online,90.0
Wargaming Group Limited,Football Manager 2020,90.0
SEGA,Battlerite Royale,90.0
Ubisoft,Ironclads: Schleswig War 1864,90.0
Subset Games,Just Fishing,90.0
Subset Games,Just Cause 3: Multiplayer Mod,90.0
"2K, Aspyr (Mac), Aspyr (Linux)",Fallout 3: Game of the Year Edition,90.0
Subset Games,Journey To The Savage Planet,90.0
Valve,Borderlands: The Pre-Sequel,89.0
Bethesda Softworks,FOR HONOR,89.0
"2K, Feral Interactive (Linux)",Viscera Cleanup Detail,89.0
3909,Rock of Ages 2: Bigger & Boulder,89.0
3909,Rock of Ages,89.0
IO Interactive A/S,Call of Duty: Black Ops,89.0
"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",Guns of Icarus Online,89.0
Electronic Arts,OLDTV,89.0
Motion Twin,Total War: SHOGUN 2,89.0
Valve,Broforce,89.0
Xbox Game Studios,Stormworks: Build and Rescue,89.0
Zen Studios,Poly Bridge 2,89.0
Bethesda Softworks,Barotrauma,89.0
Xbox Game Studios,Stoneshard,89.0
Electronic Arts,Deus Ex: Game of the Year Edition,89.0
"2K, Aspyr (Mac), Aspyr (Linux)",Half-Life 2,89.0
2K,Sid Meier's Civilization V,89.0
"FromSoftware, Inc., BANDAI NAMCO Entertainment",Alien Swarm,89.0
2K,Red Dead Redemption 2,89.0
Stardock Entertainment,Lair of the Clockwork God,89.0
Valve,Alien: Isolation,89.0
Gearbox Publishing,Dying Light 2 Stay Human,89.0
Draw Me A Pixel,Need for Drive - Open World Multiplayer Racing,89.0
Draw Me A Pixel,Need For Drink,89.0
Electronic Arts,Megabyte Punch,89.0
Crate Entertainment,BioShock 2,89.0
"Square Enix, Feral Interactive (Mac)",Grand Theft Auto: Vice City,89.0
2K,Depraved,89.0
Vlambeer,Our Life: Beginnings & Always,89.0
Vlambeer,Our Wonderful World,89.0
Paradox Interactive,SD GUNDAM G GENERATION CROSS RAYS,89.0
"LucasArts, Lucasfilm, Disney",Mervin and the Wicked Station,89.0
Rockstar Games,Dungeon Defenders,89.0
Bethesda Softworks,What Remains of Edith Finch,89.0
Annapurna Interactive,We Were Here Together,89.0
Annapurna Interactive,We Were Here Too,89.0
ConcernedApe,Cities: Skylines,89.0
ConcernedApe,Clicker Heroes,89.0
ConcernedApe,Company of Heroes 2,89.0
Stardock Entertainment,LABYRINTH OF TOUHOU - GENSOKYO AND THE HEAVEN-PIERCING TREE,89.0
Mega Crit Games,Overlord II,89.0
Mega Crit Games,Pacify,89.0
Daybreak Game Company,Deep Rock Galactic,89.0
Stardock Entertainment,Ladra,89.0
Xbox Game Studios,Guardians of the Ashes,89.0
Electronic Arts,Melissa K. and the Heart of Gold Collector's Edition,89.0
Supergiant Games,Borderlands 3,89.0
Techland,Baldur's Gate 3,89.0
Chucklefish,Far Cry 4,89.0
"Activision (Excluding Japan and Asia), FromSoftware (Japan), 方块游戏 (Asia)",Everlasting Summer,89.0
Ubisoft,Curvatron,89.0
Activision,The Binding of Isaac: Rebirth,89.0
DrinkBox Studios,Black Mesa,89.0
Enhance,Hentai Like a Boss,89.0
Valve,Alien Swarm: Reactive Drop,89.0
Electronic Arts,Mecho Tales,88.0
Valve,Amnesia: The Dark Descent,88.0
Running With Scissors,Defiance,88.0
"Versus Evil, Obsidian Entertainment",Police Stories,88.0
Hello Games,DC Universe Online,88.0
World Makers,APB Reloaded,88.0
Matt Makes Games Inc.,Cooking Simulator,88.0
Playdead,Emily is Away,88.0
"CD PROJEKT RED, 1C-SoftClub","STAR WARS Battlefront (Classic, 2004)",88.0
Playdead,ENDLESS Space - Definitive Edition,88.0
Private Division,Dragon's Dogma: Dark Arisen,88.0
Hi-Rez Studios,DRAGON BALL FighterZ,88.0
Valve,Albion Online,88.0
Torn Banner Studios,The Elder Scrolls V: Skyrim Special Edition,88.0
Matt Makes Games Inc.,Core Keeper,88.0
Blendo Games,Neptunia Shooter,88.0
Warchest Ltd.,Arma 2,88.0
Galactic Cafe,Spooky's Jump Scare Mansion,88.0
DrinkBox Studios,HellSign,88.0
DrinkBox Studios,Hentai Girl,88.0
CCP,ATLAS,88.0
CCP,AX:EL - Air XenoDawn,88.0
Raw Fury,GLASS,88.0
Raw Fury,Glass Painting: Winter Art,88.0
Bohemia Interactive,PlanetSide 2,88.0
Terry Cavanagh,Villagers and Heroes,88.0
Lever Games,Dead Cells,88.0
Runic Games,Super Crate Box,88.0
The Behemoth,The Elder Scrolls Online,88.0
Runic Games,Stronghold Crusader HD,88.0
Sven Co-op team,Fishing Planet,88.0
"Activision (Excluding Japan and Asia), FromSoftware (Japan), 方块游戏 (Asia)",F1 2015,88.0
Runic Games,Stumble Guys,88.0
Blendo Games,Nephise Begins,88.0
Private Division,Dragons and Titans,88.0
BetaDwarf,Creativerse,88.0
Galactic Cafe,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,88.0
Pearl Abyss,Risk of Rain 2,88.0
2K,Sins Of The Demon RPG,88.0
D-Pad Studio,Burgle Bros.,88.0
2x2 Games,"Lights, Camera, Reaction! IRL Edition",88.0
Northwood Studios,Elite Dangerous,88.0
"2K, Feral Interactive (Mac), Feral Interactive (Linux)",Half-Life 2: Episode One,88.0
Finji,Ballistic Overkill,88.0
Valve,Football Manager 2017,88.0
"2K, Aspyr (Mac), Aspyr (Linux)",Fallout 76,88.0
Valve,Brutal Legend,88.0
2K,恋爱模拟器 Love Simulation,88.0
New Blood Interactive,Floor is Lava,88.0
2x2 Games,Lightspeed Frontier,88.0
OP Productions LLC,Call of Duty: Black Ops II,88.0
Ubisoft,BATTLETECH,88.0
Studio MDHR Entertainment Inc.,The Lord of the Rings Online,88.0
Studio Wildcard,Mount & Blade II: Bannerlord,88.0
"Expansive Worlds, Avalanche Studios",Goat Simulator,88.0
Nexon Korea Corporation,Alan Wake,88.0
"Square Enix, Feral interactive (Mac), Feral Interactive (Linux)",Century: Age of Ashes,88.0
KOG,Call of Juarez: Gunslinger,88.0
2x2 Games,Lightsmith,88.0
D-Pad Studio,Burn Me Twice,88.0
1047 Games,Fallout: A Post Nuclear Role Playing Game,88.0
Ubisoft,ANARCHY,88.0
Techland,Banished,87.0
Ludeon Studios,Modern Combat 5,87.0
Failbetter Games,International Snooker,87.0
Electronic Arts,School of Dragons,87.0
"Brace Yourself Games, Klei Entertainment",The Long Dark,87.0
Failbetter Games,interLOGIC,87.0
Xbox Game Studios,Europa Universalis IV,87.0
"Brace Yourself Games, Klei Entertainment",Death's Door,87.0
Paradox Interactive,SHINORUBI,87.0
Stardock Entertainment,It Lurks in the Woods,87.0
Ludeon Studios,MOBIUS FINAL FANTASY,87.0
Ludeon Studios,Mini World: Block Art,87.0
Stardock Entertainment,It Moves,87.0
Dinosaur Polo Club,AHEGAL,87.0
"Codemasters, Electronic Arts",Firefighting Simulator - The Squad,87.0
Motion Twin,Total War: THREE KINGDOMS,87.0
2K,POSTAL,87.0
2K,Plants vs. Zombies GOTY Edition,87.0
"OMOCAT, LLC",Painkiller Redemption,87.0
Electronic Arts,Raft,87.0
Playdead,Dead Space 2,87.0
"LucasArts, Lucasfilm, Disney",Alien Shooter - Last Hope,87.0
Dinosaur Polo Club,Agricultural Simulator: Historical Farming,87.0
Dinosaur Polo Club,Aground,87.0
Schell Games,ONE DAY for Ched,87.0
Konami Digital Entertainment,Farming Simulator 22,87.0
Failbetter Games,INTERSHELTER,87.0
SEGA,SpeedRunners,87.0
"OMOCAT, LLC",Paper Dolls 2 纸人贰,87.0
"Codemasters, Electronic Arts",Firestone Idle RPG,87.0
"Bifrost Entertainment, DANGEN Entertainment, Gamera Game, INTRAGAMES CO., LTD.",Tactical Vanguard Saga,87.0
Ubisoft,Grand Theft Auto III,87.0
"Bifrost Entertainment, DANGEN Entertainment, Gamera Game, INTRAGAMES CO., LTD.",Tadpole Tales,87.0
Larian Studios,Fallout 2: A Post Nuclear Role Playing Game,87.0
Larian Studios,Fallout 3,87.0
SEGA,Danganronpa: Trigger Happy Havoc,87.0
TaleWorlds Entertainment,Cry of Fear,87.0
Larian Studios,Fallout 4 VR,87.0
Bohemia Interactive,America's Army: Proving Grounds,87.0
Team Cherry,DARK SOULS II,87.0
Paradox Interactive,Shoppe Keep,87.0
Paradox Interactive,Shooty Skies,87.0
WanadevStudio,Atelier Totori ~The Adventurer of Arland~ DX - トトリのアトリエ ～アーランドの錬金術士２～ DX,87.0
"CAPCOM Co., Ltd.",Mass Effect 2 Digital Deluxe Edition,87.0
Larian Studios,Fallout: New Vegas,87.0
Team Cherry,Darksiders III,87.0
Facepalm Games,The Next Door,87.0
Paradox Interactive,Shift Happens,87.0
Facepalm Games,The Old Tree,87.0
"Nicalis, Inc.",Football Manager 2021,87.0
"Worldwalker Games LLC, WhisperGames",Reversion - The Meeting (2nd Chapter),87.0
"Worldwalker Games LLC, WhisperGames",Reverse Crawl,87.0
Bethesda Softworks,"Warhammer 40,000: Dawn of War II",87.0
Kalypso Media Digital,Cyber Manhunt,87.0
"Worldwalker Games LLC, WhisperGames",Return to Shironagasu Island,87.0
"OMOCAT, LLC",Paintball War,87.0
The Fun Pimps Entertainment LLC,Half-Life: Opposing Force,87.0
"CAPCOM Co., Ltd.",Undertale,87.0
Paradox Interactive,Assetto Corsa,87.0
Devolver Digital,Fire: Ungh’s Quest,87.0
Wadjet Eye Games,Octave,87.0
Electronic Arts,Dude Simulator,87.0
Kitfox Games,Human-Like,87.0
Valve,Elsword,87.0
Survios,Devolver Bootleg,87.0
"Spike Chunsoft Co., Ltd.",Hyperspace Dogfights,87.0
Warner Bros. Interactive Entertainment,Mount & Blade: Warband,87.0
Wadjet Eye Games,Octopus Bar,87.0
Wadjet Eye Games,Odd Island,87.0
"Thekla, Inc.",The Ship: Single Player,87.0
Warner Bros. Interactive Entertainment,MORDHAU,87.0
Axolot Games,Empires Mod,87.0
TimeGate Studios,Feather,87.0
Ninja Theory,A Little Bird,87.0
Ninja Theory,A Little Golf Journey,87.0
